creator_id,archetype,niche_category,subscriber_count,channel_age_years,avg_retention_rate,avg_ctr,upload_freq_per_month,avg_video_length_mins,avg_video_len_std,rpm,monthly_views,revenue_90d,len_consistency_score,subscriber_tier
920,High-Retention Niche Specialists,Entertainment,35198,5.5,50.69,5.46,6.8,26.6,0.93,1.54,6517,30.11,92.9,Mid (10K-100K)
2365,Consistent Volume Builders,Lifestyle,93797,2.4,29.22,4.93,15.5,14.9,2.09,2.08,12116,75.58,84.1,Mid (10K-100K)
2063,Consistent Volume Builders,Gaming,46447,2.4,35.28,5.0,20.3,8.3,1.49,2.33,5480,38.31,88.7,Mid (10K-100K)
2412,Consistent Volume Builders,Travel,76017,3.6,37.78,5.84,23.1,6.8,2.04,3.0,5215,46.93,84.5,Mid (10K-100K)
530,High-Retention Niche Specialists,Health & Fitness Coaching,87041,4.3,62.71,4.05,6.5,21.2,0.7,1.36,3868,15.78,94.7,Mid (10K-100K)
2660,Consistent Volume Builders,Food & Cooking,32123,2.5,25.85,4.82,14.3,3.5,1.89,1.46,1461,6.39,85.7,Mid (10K-100K)
2636,Consistent Volume Builders,Travel,73355,2.3,33.78,3.61,21.9,8.9,0.72,2.24,6550,44.06,94.5,Mid (10K-100K)
1148,Viral Spike Chasers,Entertainment,247004,3.3,26.12,7.92,7.5,1.0,5.0,2.23,44736,298.97,62.1,Large (100K-500K)
743,High-Retention Niche Specialists,Travel,137707,3.9,58.8,3.53,5.2,17.6,1.68,1.92,17491,100.68,87.3,Large (100K-500K)
1309,Viral Spike Chasers,Tech Deep-Dive Reviews,157765,1.7,23.55,8.42,6.2,10.6,1.0,1.78,15143,80.97,92.4,Large (100K-500K)
3459,Emerging Dabblers,DIY & Craft Tutorials,9957,1.4,17.17,3.2,0.5,1.0,9.15,1.2,1285,4.61,30.6,Small (1K-10K)
1846,Consistent Volume Builders,Travel,26004,3.1,23.16,4.5,16.3,6.4,1.51,1.54,4533,20.89,88.5,Mid (10K-100K)
797,High-Retention Niche Specialists,Personal Finance,18533,2.9,49.37,6.41,6.5,18.5,0.4,1.38,2614,10.79,97.0,Mid (10K-100K)
1029,Viral Spike Chasers,Entertainment,40000,4.3,22.37,10.75,9.5,3.4,5.03,2.16,3643,23.59,61.8,Mid (10K-100K)
3328,Emerging Dabblers,DIY & Craft Tutorials,318,1.3,22.16,3.29,0.6,13.3,2.33,1.71,57,0.29,82.3,Micro (<1K)
3130,Emerging Dabblers,Food & Cooking,1786,0.9,19.57,4.42,2.8,16.1,3.04,2.36,353,2.5,76.9,Small (1K-10K)
2054,Consistent Volume Builders,Lifestyle,16514,1.3,31.32,4.48,17.1,10.6,1.36,2.64,2010,14.95,89.7,Mid (10K-100K)
1933,Consistent Volume Builders,DIY & Craft Tutorials,74060,3.7,30.42,4.85,26.5,16.0,3.39,3.91,11273,132.19,74.3,Mid (10K-100K)
3190,Emerging Dabblers,Lifestyle,12000,1.0,22.22,3.69,2.5,12.6,4.7,2.04,1852,11.34,64.3,Mid (10K-100K)
1406,Viral Spike Chasers,Entertainment,340297,2.6,27.75,8.48,8.8,7.9,7.93,2.06,65123,401.97,39.8,Large (100K-500K)
280,Subscriber Giants,Education / Test Prep,1839320,4.1,39.82,7.85,7.9,13.3,1.6,4.89,92308,1352.83,87.9,Mega (500K+)
3977,Emerging Dabblers,Tech Deep-Dive Reviews,2943,0.2,17.45,3.33,2.7,8.5,5.92,2.7,571,4.63,55.1,Small (1K-10K)
1009,Viral Spike Chasers,Education / Test Prep,121872,1.7,25.29,8.3,10.3,9.2,5.33,1.96,5970,35.04,59.6,Large (100K-500K)
2574,Consistent Volume Builders,Travel,68400,4.5,30.57,5.75,25.0,8.9,2.68,2.41,3437,24.83,79.7,Mid (10K-100K)
3418,Emerging Dabblers,Lifestyle,1218,1.2,25.06,4.38,1.5,15.8,6.51,1.14,117,0.4,50.6,Small (1K-10K)
2762,Emerging Dabblers,Gaming,576,1.6,15.51,4.97,2.0,9.3,7.05,1.36,40,0.16,46.5,Micro (<1K)
1153,Viral Spike Chasers,Gaming,257239,1.3,20.54,7.72,12.6,5.8,6.24,2.43,43568,317.35,52.7,Large (100K-500K)
1627,Consistent Volume Builders,Lifestyle,168089,3.4,27.4,5.44,23.6,15.4,0.89,3.24,33033,321.55,93.2,Large (100K-500K)
577,High-Retention Niche Specialists,Tech Deep-Dive Reviews,45891,3.5,57.58,5.05,5.6,15.2,0.32,1.36,6293,25.64,97.6,Mid (10K-100K)
377,High-Retention Niche Specialists,Entertainment,21043,2.58,56.45,5.39,7.3,17.2,1.62,1.49,3588,16.02,87.7,Mid (10K-100K)
3667,Emerging Dabblers,DIY & Craft Tutorials,972,2.3,19.24,4.99,4.6,7.9,3.3,2.11,180,1.14,75.0,Micro (<1K)
2157,Consistent Volume Builders,DIY & Craft Tutorials,53295,2.3,32.27,4.02,12.7,10.1,1.76,2.84,7032,59.83,86.6,Mid (10K-100K)
3540,Emerging Dabblers,Tech Deep-Dive Reviews,7230,1.9,19.19,3.73,0.9,21.0,8.05,2.04,1149,7.03,38.9,Small (1K-10K)
2553,Consistent Volume Builders,Food & Cooking,56025,3.0,30.58,6.52,22.9,13.2,2.36,2.81,8446,71.18,82.1,Mid (10K-100K)
1733,Consistent Volume Builders,Entertainment,63443,3.0,23.97,5.27,21.7,9.8,1.41,1.16,10611,36.82,89.3,Mid (10K-100K)
3417,Emerging Dabblers,Food & Cooking,1031,2.6,18.85,1.58,1.6,10.3,5.06,2.37,165,1.17,61.6,Small (1K-10K)
913,High-Retention Niche Specialists,Health & Fitness Coaching,23636,3.4,53.12,4.97,4.7,21.9,0.38,0.85,3109,7.92,97.1,Mid (10K-100K)
137,Subscriber Giants,Tech Deep-Dive Reviews,1893862,7.0,43.72,7.47,11.3,7.0,2.03,5.25,327023,5151.62,84.6,Mega (500K+)
1585,Consistent Volume Builders,Travel,83348,4.4,31.46,5.22,14.8,12.7,0.76,2.61,12340,96.72,94.2,Mid (10K-100K)
3516,Emerging Dabblers,Travel,518,0.9,21.56,2.66,2.1,11.8,6.01,0.87,25,0.07,54.4,Micro (<1K)
3845,Emerging Dabblers,Tech Deep-Dive Reviews,1177,0.8,23.38,3.08,1.6,5.8,2.56,2.4,186,1.34,80.6,Small (1K-10K)
2021,Consistent Volume Builders,DIY & Craft Tutorials,18882,3.9,26.93,4.53,20.3,12.9,1.69,2.64,2668,22.31,87.2,Mid (10K-100K)
1156,Viral Spike Chasers,Gaming,47341,2.1,20.19,9.42,13.6,4.2,6.71,2.06,8066,49.79,49.1,Mid (10K-100K)
585,High-Retention Niche Specialists,Travel,44403,1.7,56.44,5.31,5.0,16.6,1.23,0.46,1948,2.68,90.7,Mid (10K-100K)
2006,Consistent Volume Builders,Personal Finance,160068,2.3,33.2,2.7,23.0,3.3,1.96,3.29,16483,162.77,85.1,Large (100K-500K)
2332,Consistent Volume Builders,Travel,51316,4.6,32.94,4.44,14.5,4.8,1.96,3.5,8004,84.02,85.1,Mid (10K-100K)
2651,Consistent Volume Builders,Personal Finance,125883,1.8,30.15,4.78,22.9,8.4,2.15,3.17,11119,105.6,83.7,Large (100K-500K)
1187,Viral Spike Chasers,Lifestyle,189109,2.6,23.24,8.54,9.1,4.4,3.28,1.41,20146,85.07,75.1,Large (100K-500K)
344,High-Retention Niche Specialists,Lifestyle,26149,4.4,54.9,6.38,6.3,28.1,1.14,1.3,1718,6.72,91.4,Mid (10K-100K)
3807,Emerging Dabblers,Education / Test Prep,12000,1.3,27.41,2.57,1.6,11.9,2.66,1.7,756,3.86,79.8,Mid (10K-100K)
3352,Emerging Dabblers,Entertainment,458,1.5,21.36,3.58,0.5,13.7,7.2,2.28,49,0.34,45.4,Micro (<1K)
1045,Viral Spike Chasers,Lifestyle,241155,2.6,18.6,10.15,4.9,8.2,4.09,1.89,24375,138.08,69.0,Large (100K-500K)
2906,Emerging Dabblers,Gaming,1403,1.0,21.22,3.97,2.0,9.0,5.31,2.38,109,0.78,59.7,Small (1K-10K)
343,High-Retention Niche Specialists,Gaming,46761,3.1,53.96,4.06,4.4,20.3,1.07,1.87,2484,13.96,91.9,Mid (10K-100K)
2923,Emerging Dabblers,Food & Cooking,405,0.4,15.85,3.22,3.4,20.6,4.71,2.45,62,0.46,64.3,Micro (<1K)
3407,Emerging Dabblers,DIY & Craft Tutorials,278,0.2,17.64,5.41,2.7,9.1,6.62,2.8,30,0.25,49.8,Micro (<1K)
1434,Viral Spike Chasers,Lifestyle,44920,2.2,21.28,9.34,9.8,8.6,4.58,2.12,8286,52.71,65.3,Mid (10K-100K)
2208,Consistent Volume Builders,Lifestyle,27037,1.0,29.33,5.76,22.5,7.7,2.2,1.69,2830,14.35,83.3,Mid (10K-100K)
485,High-Retention Niche Specialists,Tech Deep-Dive Reviews,8593,4.6,51.81,6.19,9.0,9.8,0.95,0.82,1129,2.77,92.8,Small (1K-10K)
3392,Emerging Dabblers,Personal Finance,12000,0.5,22.37,4.23,1.6,11.1,9.83,1.4,1433,6.02,25.4,Mid (10K-100K)
1930,Consistent Volume Builders,Travel,106381,2.7,34.82,5.39,22.0,7.8,2.27,2.6,19042,148.46,82.8,Large (100K-500K)
3614,Emerging Dabblers,Health & Fitness Coaching,1886,1.2,20.5,4.32,3.3,8.3,6.76,1.85,100,0.56,48.7,Small (1K-10K)
169,Subscriber Giants,Entertainment,1444809,6.1,39.7,6.66,8.7,22.9,2.57,5.04,116484,1760.58,80.5,Mega (500K+)
3008,Emerging Dabblers,Travel,150,1.3,23.14,1.82,2.6,13.3,4.01,1.88,26,0.15,69.6,Micro (<1K)
3161,Emerging Dabblers,DIY & Craft Tutorials,3560,2.1,20.62,3.69,3.6,1.0,5.61,2.15,650,4.2,57.4,Small (1K-10K)
1250,Viral Spike Chasers,Entertainment,134090,1.0,18.43,7.3,12.7,12.8,5.1,2.31,6146,42.54,61.3,Large (100K-500K)
2267,Consistent Volume Builders,Lifestyle,58651,3.2,24.31,4.62,21.8,8.3,3.39,1.32,5162,20.37,74.3,Mid (10K-100K)
199,Subscriber Giants,Tech Deep-Dive Reviews,1576483,3.4,31.68,4.82,11.5,23.3,1.47,4.03,124725,1506.53,88.8,Mega (500K+)
3509,Emerging Dabblers,Education / Test Prep,263,0.8,22.41,3.15,2.1,7.0,5.21,2.34,39,0.27,60.5,Micro (<1K)
1014,Viral Spike Chasers,Lifestyle,239707,1.7,24.41,10.17,8.5,7.2,7.3,2.26,45826,310.63,44.6,Large (100K-500K)
1650,Consistent Volume Builders,DIY & Craft Tutorials,49740,6.1,30.83,3.96,16.5,15.5,2.86,1.92,2663,15.31,78.3,Mid (10K-100K)
1049,Viral Spike Chasers,Travel,220697,3.6,22.73,8.9,4.7,12.2,3.73,2.79,18314,153.13,71.7,Large (100K-500K)
2945,Emerging Dabblers,Food & Cooking,3425,1.7,17.78,4.71,1.4,10.6,5.56,1.9,501,2.85,57.8,Small (1K-10K)
729,High-Retention Niche Specialists,Education / Test Prep,45208,1.4,56.25,5.6,7.3,19.1,1.1,1.23,3526,13.03,91.7,Mid (10K-100K)
2763,Emerging Dabblers,Entertainment,1822,1.9,15.82,2.89,0.5,2.3,5.02,2.04,115,0.7,61.9,Small (1K-10K)
446,High-Retention Niche Specialists,Health & Fitness Coaching,71529,2.5,55.7,5.9,4.9,18.9,1.89,0.93,6820,19.0,85.7,Mid (10K-100K)
730,High-Retention Niche Specialists,Tech Deep-Dive Reviews,78700,3.9,62.26,5.38,5.5,22.6,1.15,1.41,4692,19.78,91.3,Mid (10K-100K)
2249,Consistent Volume Builders,Travel,152484,2.5,31.89,5.37,18.8,13.9,1.84,1.82,8127,44.34,86.0,Large (100K-500K)
3835,Emerging Dabblers,Entertainment,3411,0.9,20.41,3.79,2.8,1.0,4.9,2.49,416,3.1,62.8,Small (1K-10K)
3521,Emerging Dabblers,DIY & Craft Tutorials,519,0.2,16.57,3.23,4.2,14.2,7.01,2.22,23,0.15,46.8,Micro (<1K)
1466,Viral Spike Chasers,Gaming,559924,2.7,16.87,8.9,5.5,1.0,7.36,2.6,65650,511.44,44.2,Mega (500K+)
1990,Consistent Volume Builders,Travel,50686,2.7,28.28,4.26,13.7,11.9,1.5,1.93,7997,46.35,88.6,Mid (10K-100K)
1924,Consistent Volume Builders,Travel,34155,3.3,26.49,6.11,21.8,10.7,1.79,2.79,5729,47.88,86.4,Mid (10K-100K)
2411,Consistent Volume Builders,Travel,136478,2.2,34.37,5.91,17.9,4.5,3.55,3.69,25447,281.93,73.1,Large (100K-500K)
1883,Consistent Volume Builders,DIY & Craft Tutorials,154100,6.1,25.59,5.75,21.8,8.1,1.45,1.58,27539,130.63,89.0,Large (100K-500K)
3818,Emerging Dabblers,Entertainment,909,0.3,13.89,3.1,3.5,7.6,10.35,1.5,116,0.52,21.5,Micro (<1K)
2698,Consistent Volume Builders,Education / Test Prep,42157,2.4,36.87,4.85,28.4,6.6,3.47,2.91,6091,53.11,73.7,Mid (10K-100K)
1135,Viral Spike Chasers,Food & Cooking,69650,4.2,28.24,8.36,13.5,4.0,4.19,1.9,8208,46.78,68.2,Mid (10K-100K)
3786,Emerging Dabblers,DIY & Craft Tutorials,709,0.9,12.39,2.27,3.2,11.1,3.37,1.62,65,0.32,74.4,Micro (<1K)
816,High-Retention Niche Specialists,Personal Finance,89487,1.7,55.77,2.94,5.5,13.8,1.95,0.97,12461,36.38,85.2,Mid (10K-100K)
561,High-Retention Niche Specialists,Personal Finance,47291,3.6,51.45,5.66,4.0,21.9,1.46,1.18,8395,29.61,88.9,Mid (10K-100K)
3638,Emerging Dabblers,Health & Fitness Coaching,2055,0.7,12.83,2.67,4.3,15.5,7.83,1.43,276,1.19,40.6,Small (1K-10K)
2966,Emerging Dabblers,Personal Finance,368,1.1,21.51,4.35,0.7,1.8,3.09,0.78,66,0.16,76.6,Micro (<1K)
1818,Consistent Volume Builders,Travel,60314,3.4,29.64,6.06,16.1,13.1,1.67,2.71,10343,84.09,87.3,Mid (10K-100K)
2143,Consistent Volume Builders,travel,77242,4.7,36.79,5.24,24.7,11.5,2.81,1.22,6441,23.53,78.7,Mid (10K-100K)
1427,Viral Spike Chasers,ENTERTAINMENT,137079,2.8,20.46,9.24,7.0,6.8,3.26,1.05,20415,64.44,75.3,Large (100K-500K)
3625,Emerging Dabblers,Personal Finance,764,1.2,18.86,3.5,1.7,23.6,7.39,2.02,107,0.65,43.9,Micro (<1K)
2686,Consistent Volume Builders,Food & Cooking,75742,2.4,29.76,4.25,18.0,11.3,0.74,2.88,5188,44.81,94.4,Mid (10K-100K)
916,High-Retention Niche Specialists,TRAVEL,36624,3.9,60.27,5.15,5.7,18.8,1.46,1.42,7090,30.25,88.9,Mid (10K-100K)
3069,Emerging Dabblers,Education / Test Prep,1098,2.0,22.54,3.16,2.6,12.4,4.85,1.53,219,1.0,63.2,Small (1K-10K)
1619,Consistent Volume Builders,Entertainment,36687,3.1,29.0,5.45,15.9,7.0,1.67,2.3,2492,17.21,87.3,Mid (10K-100K)
2732,Consistent Volume Builders,Health & Fitness Coaching,61282,2.9,28.91,4.42,19.5,15.0,2.93,2.76,8166,67.59,77.8,Mid (10K-100K)
962,High-Retention Niche Specialists,Gaming,25965,3.5,57.42,5.99,7.7,17.9,1.16,1.03,4614,14.26,91.2,Mid (10K-100K)
2083,Consistent Volume Builders,Lifestyle,53743,5.4,32.0,5.16,15.2,8.3,3.52,3.68,9642,106.43,73.3,Mid (10K-100K)
3184,Emerging Dabblers,Travel,2056,1.7,16.13,3.2,0.9,17.0,3.94,1.79,127,0.68,70.1,Small (1K-10K)
3391,Emerging Dabblers,Gaming,129,2.2,19.62,4.6,2.3,22.5,7.53,2.67,20,0.16,42.9,Micro (<1K)
932,High-Retention Niche Specialists,Education / Test Prep,81427,2.7,59.03,5.38,7.7,19.3,1.62,1.29,15728,60.73,87.7,Mid (10K-100K)
3916,Emerging Dabblers,DIY & Craft Tutorials,1141,2.1,11.74,4.3,2.4,19.2,5.32,3.05,174,1.59,59.6,Small (1K-10K)
3591,Emerging Dabblers,Food & Cooking,9552,1.6,18.39,4.32,2.3,13.5,3.93,2.4,1069,7.7,70.2,Small (1K-10K)
1330,Viral Spike Chasers,DIY & Craft Tutorials,146801,3.2,31.0,8.24,8.3,7.6,4.99,2.77,14000,116.48,62.1,Large (100K-500K)
76,Subscriber Giants,Tech Deep-Dive Reviews,2352834,7.2,41.06,5.88,16.3,7.7,3.58,3.57,98324,1053.85,72.8,Mega (500K+)
2357,Consistent Volume Builders,DIY & Craft Tutorials,59664,4.7,29.92,4.94,15.8,8.0,3.68,1.47,10022,44.3,72.1,Mid (10K-100K)
2025,Consistent Volume Builders,Lifestyle,45598,4.8,29.18,4.42,13.8,12.2,2.24,2.64,2271,19.91,83.0,Mid (10K-100K)
292,Subscriber Giants,Tech Deep-Dive Reviews,1726277,6.3,38.73,7.37,10.3,20.1,2.73,4.81,160681,2317.05,79.3,Mega (500K+)
2279,Consistent Volume Builders,Lifestyle,220000,2.6,33.32,3.76,20.0,7.3,0.2,2.89,28540,247.4,98.5,Large (100K-500K)
465,High-Retention Niche Specialists,Personal Finance,32516,4.0,54.46,5.46,6.2,7.4,2.2,0.82,1353,3.33,83.3,Mid (10K-100K)
531,High-Retention Niche Specialists,Lifestyle,11226,0.2,59.63,5.22,5.9,15.3,0.52,1.36,2169,8.86,96.1,Mid (10K-100K)
1994,Consistent Volume Builders,Food & Cooking,47366,3.1,37.89,3.64,12.9,9.3,2.53,2.84,4149,35.37,80.8,Mid (10K-100K)
1388,Viral Spike Chasers,Travel,265320,2.1,16.16,7.67,15.1,6.7,6.02,2.06,22016,136.38,54.3,Large (100K-500K)
3577,Emerging Dabblers,Gaming,5139,0.9,20.77,4.28,5.0,9.6,6.62,1.45,263,1.15,49.8,Small (1K-10K)
1071,Viral Spike Chasers,Entertainment,252917,3.4,22.3,11.63,10.4,7.5,5.89,1.4,16202,67.89,55.3,Large (100K-500K)
125,Subscriber Giants,DIY & Craft Tutorials,2557100,8.5,36.3,5.69,11.5,15.6,1.86,4.54,167884,2288.13,85.9,Mega (500K+)
752,High-Retention Niche Specialists,Personal Finance,60542,4.1,55.79,5.31,6.6,26.2,2.06,1.72,7278,37.53,84.4,Mid (10K-100K)
3704,Emerging Dabblers,Lifestyle,1019,1.0,20.36,3.08,0.5,7.9,3.82,1.41,105,0.44,71.0,Small (1K-10K)
1062,Viral Spike Chasers,Gaming,76654,3.0,27.03,9.46,8.9,1.0,4.13,1.93,5227,30.3,68.7,Mid (10K-100K)
12,Subscriber Giants,Entertainment,2474104,2.9,42.08,6.08,3.2,12.1,2.28,4.38,184783,2428.69,82.7,Mega (500K+)
3475,Emerging Dabblers,Tech Deep-Dive Reviews,670,1.5,21.68,3.14,2.6,6.3,3.58,2.31,89,0.62,72.8,Micro (<1K)
1152,Viral Spike Chasers,Travel,600000,3.1,21.25,8.3,10.4,4.7,1.63,2.55,117742,900.29,87.6,Mega (500K+)
607,High-Retention Niche Specialists,DIY & Craft Tutorials,20545,2.9,58.41,6.49,7.9,22.5,0.93,1.62,1073,5.21,92.9,Mid (10K-100K)
195,Subscriber Giants,Tech Deep-Dive Reviews,836004,6.3,49.59,6.4,9.3,8.4,3.6,5.07,62275,947.51,72.7,Mega (500K+)
3879,Emerging Dabblers,Health & Fitness Coaching,5084,1.8,17.84,4.36,1.5,14.3,4.4,1.51,437,1.99,66.6,Small (1K-10K)
3984,Emerging Dabblers,Gaming,2081,2.5,19.33,3.26,0.5,12.4,3.88,1.81,285,1.31,70.6,Small (1K-10K)
699,High-Retention Niche Specialists,Education / Test Prep,48302,1.9,54.48,4.08,6.2,18.1,1.23,1.33,3895,15.56,90.7,Mid (10K-100K)
2628,Consistent Volume Builders,Travel,45402,2.7,23.85,5.02,17.2,11.7,1.58,2.37,7942,56.55,88.0,Mid (10K-100K)
361,High-Retention Niche Specialists,Personal Finance,56441,3.8,59.64,5.14,4.6,19.8,0.85,1.33,4517,17.96,93.6,Mid (10K-100K)
471,High-Retention Niche Specialists,Health & Fitness Coaching,49053,4.4,58.9,4.77,6.7,19.1,1.49,1.28,9416,36.04,88.7,Mid (10K-100K)
2838,Emerging Dabblers,Travel,3741,2.1,16.68,2.53,1.6,13.5,6.08,0.84,677,1.7,53.9,Small (1K-10K)
3439,Emerging Dabblers,Tech Deep-Dive Reviews,203,2.2,12.71,2.21,0.5,5.5,7.15,1.53,8,0.04,45.8,Micro (<1K)
2347,Consistent Volume Builders,Lifestyle,57302,3.8,32.42,4.38,20.5,10.1,2.21,1.41,5690,24.06,83.2,Mid (10K-100K)
94,Subscriber Giants,Food & Cooking,1510220,9.6,37.5,6.85,15.1,15.7,2.11,4.69,63262,889.73,84.0,Mega (500K+)
3927,Emerging Dabblers,Tech Deep-Dive Reviews,2055,1.2,16.71,1.91,4.0,11.0,3.18,1.88,222,1.25,75.9,Small (1K-10K)
2932,Emerging Dabblers,Education / Test Prep,907,1.9,15.14,2.07,1.6,1.0,5.72,2.16,45,0.29,56.6,Micro (<1K)
996,High-Retention Niche Specialists,Personal Finance,15711,1.9,51.1,6.62,4.8,21.8,0.79,1.51,769,3.48,94.0,Mid (10K-100K)
1562,Consistent Volume Builders,Personal Finance,36395,1.9,36.02,3.93,25.3,11.0,2.26,2.67,2591,20.75,82.9,Mid (10K-100K)
2078,Consistent Volume Builders,Personal Finance,64716,3.9,28.14,4.82,21.2,10.6,2.38,2.93,12232,107.59,81.9,Mid (10K-100K)
933,High-Retention Niche Specialists,Education / Test Prep,99994,1.7,54.0,5.67,9.8,16.1,0.74,1.53,14492,66.33,94.4,Mid (10K-100K)
2406,Consistent Volume Builders,DIY & Craft Tutorials,129650,1.4,31.75,4.67,19.6,14.1,2.05,2.5,10604,79.6,84.4,Large (100K-500K)
892,High-Retention Niche Specialists,Personal Finance,72505,3.8,57.88,6.32,6.1,17.3,0.54,2.04,10541,64.59,95.9,Mid (10K-100K)
3873,Emerging Dabblers,Food & Cooking,993,0.6,19.37,3.33,4.4,16.7,4.61,2.37,151,1.07,65.0,Micro (<1K)
1301,Viral Spike Chasers,Lifestyle,211546,2.3,17.03,7.11,5.6,9.5,4.24,2.15,9681,62.45,67.8,Large (100K-500K)
1538,Consistent Volume Builders,DIY & Craft Tutorials,45584,2.9,30.96,4.16,15.8,12.6,1.62,4.15,4502,56.11,87.7,Mid (10K-100K)
1643,Consistent Volume Builders,Lifestyle,112755,4.7,34.64,4.57,14.5,4.7,1.9,2.34,4530,31.75,85.6,Large (100K-500K)
3605,Emerging Dabblers,Food & Cooking,299,0.3,11.85,3.04,4.7,9.0,6.27,1.32,24,0.1,52.4,Micro (<1K)
3040,Emerging Dabblers,Travel,1511,0.8,17.75,1.81,0.9,11.0,1.92,2.67,82,0.66,85.4,Small (1K-10K)
2717,Consistent Volume Builders,Travel,34681,3.1,32.77,7.14,12.9,13.4,2.19,2.38,6248,44.55,83.4,Mid (10K-100K)
1940,Consistent Volume Builders,Lifestyle,133219,1.8,25.37,5.24,12.1,6.3,2.35,3.0,11324,102.04,82.2,Large (100K-500K)
1418,Viral Spike Chasers,Education / Test Prep,105108,2.8,20.0,10.2,5.3,7.5,8.09,2.04,7824,47.89,38.6,Large (100K-500K)
2583,Consistent Volume Builders,DIY & Craft Tutorials,173479,2.4,33.41,4.71,21.1,10.2,2.4,2.5,31370,235.46,81.8,Large (100K-500K)
3706,Emerging Dabblers,Food & Cooking,699,0.5,8.93,4.45,1.3,1.0,5.3,1.14,48,0.16,59.8,Micro (<1K)
1907,Consistent Volume Builders,Food & Cooking,108890,1.2,24.46,4.61,21.1,7.0,1.77,3.04,16859,153.86,86.6,Large (100K-500K)
2883,Emerging Dabblers,Entertainment,1587,1.0,19.82,4.66,4.8,20.3,5.9,2.19,223,1.46,55.2,Small (1K-10K)
3483,Emerging Dabblers,DIY & Craft Tutorials,1335,1.1,27.49,3.34,0.9,18.9,2.53,1.72,148,0.76,80.8,Small (1K-10K)
1632,Consistent Volume Builders,Travel,62073,3.2,37.53,4.03,19.4,9.2,1.94,2.39,4020,28.81,85.3,Mid (10K-100K)
3422,Emerging Dabblers,Lifestyle,908,1.8,23.11,3.18,2.6,5.1,4.73,1.51,160,0.72,64.1,Micro (<1K)
2545,Consistent Volume Builders,Travel,80620,3.0,34.85,4.95,12.7,14.0,2.71,3.14,14145,133.1,79.4,Mid (10K-100K)
396,High-Retention Niche Specialists,Education / Test Prep,13781,3.92,56.34,5.72,6.5,26.5,0.53,1.66,2091,10.4,96.0,Mid (10K-100K)
1738,Consistent Volume Builders,Food & Cooking,94292,4.7,35.39,5.52,24.3,10.0,1.45,2.11,17371,109.92,89.0,Mid (10K-100K)
3998,Emerging Dabblers,Personal Finance,293,0.8,12.29,2.44,1.0,20.8,7.7,0.54,14,0.02,41.6,Micro (<1K)
2398,Consistent Volume Builders,Travel,15000,4.0,33.56,5.15,14.9,15.8,1.82,2.85,2605,22.29,86.2,Mid (10K-100K)
2538,Consistent Volume Builders,Personal Finance,36129,0.4,33.16,4.7,26.1,12.8,0.87,2.04,6404,39.23,93.4,Mid (10K-100K)
265,Subscriber Giants,Tech Deep-Dive Reviews,2074219,7.6,44.71,3.35,8.0,17.6,1.62,4.3,311596,4205.75,87.7,Mega (500K+)
300,Subscriber Giants,Education / Test Prep,1909716,6.1,39.76,5.47,9.6,10.8,1.1,3.44,294837,3040.89,91.7,Mega (500K+)
353,High-Retention Niche Specialists,Health & Fitness Coaching,36769,2.5,57.45,5.16,8.1,24.4,1.43,0.83,4879,12.16,89.2,Mid (10K-100K)
1859,Consistent Volume Builders,Personal Finance,39823,5.9,30.98,4.64,18.3,11.1,2.42,1.66,4352,21.65,81.6,Mid (10K-100K)
3299,Emerging Dabblers,Food & Cooking,3102,0.2,17.45,1.81,2.0,8.3,3.45,2.0,609,3.66,73.8,Small (1K-10K)
3829,Emerging Dabblers,Lifestyle,486,0.9,22.12,1.98,4.2,3.4,5.74,0.43,70,0.09,56.4,Micro (<1K)
3850,Emerging Dabblers,Entertainment,1402,1.5,22.51,3.02,2.2,13.8,3.22,1.43,61,0.26,75.6,Small (1K-10K)
1864,Consistent Volume Builders,Health & Fitness Coaching,139849,3.1,36.73,3.28,20.0,14.1,2.47,2.56,27745,213.4,81.3,Large (100K-500K)
2605,Consistent Volume Builders,Food & Cooking,121566,3.9,35.75,5.08,20.6,7.9,2.16,3.17,12569,119.46,83.6,Large (100K-500K)
3374,Emerging Dabblers,DIY & Craft Tutorials,560,1.3,24.38,4.28,0.5,2.4,8.13,0.92,36,0.1,38.3,Micro (<1K)
3858,Emerging Dabblers,Education / Test Prep,144,1.9,24.9,2.28,2.4,20.1,5.82,1.47,15,0.07,55.8,Micro (<1K)
1728,Consistent Volume Builders,Lifestyle,25184,4.0,33.27,5.39,19.8,12.6,2.42,2.24,2746,18.44,81.6,Mid (10K-100K)
2252,Consistent Volume Builders,Health & Fitness Coaching,15585,2.8,32.47,5.11,11.5,16.1,2.03,1.8,1152,6.22,84.6,Mid (10K-100K)
3978,Emerging Dabblers,Entertainment,525,1.4,19.15,3.49,1.9,17.0,5.06,1.22,41,0.15,61.6,Micro (<1K)
3880,Emerging Dabblers,Lifestyle,544,0.9,21.07,2.24,0.5,7.7,0.2,1.85,87,0.48,98.5,Micro (<1K)
2188,Consistent Volume Builders,Travel,51069,3.6,32.82,3.94,15.1,14.4,1.97,1.83,8003,43.96,85.1,Mid (10K-100K)
2898,Emerging Dabblers,Lifestyle,1819,2.0,13.69,2.51,2.5,7.9,4.5,1.63,146,0.71,65.9,Small (1K-10K)
1069,Viral Spike Chasers,Lifestyle,265343,2.9,19.06,8.23,7.7,6.8,5.6,1.09,50426,164.75,57.5,Large (100K-500K)
